Time	L POR X [px]	L POR Y [px]	L Diam [mm]	R POR X [px]	R POR Y [px]	R Diam [mm]
1494352010171388	831.48	613.87	3.99	975.11	713.32	3.86
1494352010188054	838.33	611.81	3.93	955.24	723.64	3.93
1494352010204719	825.89	609.90	3.97	967.61	718.98	3.94
1494352010221373	828.92	617.39	3.96	960.12	703.54	3.87
1494352010238046	825.30	602.31	3.93	967.02	726.28	3.93
1494352010254716	831.90	613.64	3.97	970.28	712.08	3.88
1494352010271376	827.91	607.68	3.94	959.76	725.46	3.93
1494352010288049	827.55	611.09	3.95	972.41	703.79	3.87
1494352010304714	835.90	612.61	3.95	967.41	701.13	3.88
1494352010321372	821.29	601.71	3.95	958.48	720.76	3.95
1494352010338045	827.94	608.06	3.97	974.11	704.70	3.88
1494352010354706	NaN	NaN	NaN	968.26	716.80	3.90
1494352010371370	824.86	614.80	3.92	959.37	716.74	3.88
1494352010388037	833.50	611.98	3.96	964.34	711.55	3.94
1494352010404709	832.09	611.68	3.98	968.49	717.82	3.94
1494352010421368	832.61	611.48	3.97	975.81	709.51	3.94
1494352010438035	834.77	606.53	4.00	961.15	713.42	3.94
1494352010454696	831.89	608.26	3.94	NaN	NaN	NaN
1494352010471361	828.05	617.12	3.96	955.41	737.91	3.97
1494352010488022	820.94	612.44	3.97	976.79	716.71	3.93
1494352010504706	829.54	609.03	3.96	973.56	732.61	3.98
1494352010521362	821.19	616.13	3.97	974.40	716.98	3.90
1494352010538028	831.13	619.23	3.94	970.59	743.99	3.98
1494352010554672	NaN	NaN	NaN	966.64	716.03	3.92
1494352010571361	828.52	622.78	3.97	955.05	735.25	3.94
1494352010588028	830.03	621.59	3.94	955.89	751.30	4.02
1494352010604686	824.73	616.57	3.93	949.98	749.99	4.03
1494352010621310	823.58	611.55	3.95	958.79	724.45	3.94
1494352010638007	821.82	611.33	3.91	960.20	714.99	3.89
1494352010654684	NaN	NaN	NaN	971.32	753.24	4.02
1494352010671319	829.40	608.28	3.97	966.31	712.58	3.89
1494352010688006	829.88	605.15	3.86	958.29	711.23	3.88
1494352010704651	NaN	NaN	NaN	973.38	709.62	3.88
1494352010721345	831.53	612.39	3.94	974.51	711.68	3.89
1494352010738010	831.16	611.24	3.97	980.83	699.55	3.86
1494352010754683	826.04	603.31	3.93	974.42	707.03	3.87
1494352010771343	828.29	612.24	3.97	978.13	695.90	3.87
1494352010788009	822.58	603.83	3.97	959.69	706.66	3.88
1494352010804724	826.56	618.76	3.96	961.23	707.46	3.90
1494352010821331	831.22	614.08	3.95	974.53	725.50	3.97
1494352010838003	829.01	605.73	3.97	964.99	745.93	4.01
1494352010854710	830.69	612.15	3.96	973.37	719.03	3.96
1494352010871331	817.82	608.48	3.96	959.64	713.56	3.91
1494352010888003	825.43	617.03	3.93	958.12	699.14	3.88
1494352010904716	825.50	606.77	3.95	956.91	709.25	3.92
1494352010921328	832.48	615.29	3.96	973.82	707.22	3.90
1494352010938000	832.40	613.49	3.95	964.74	726.16	3.93
1494352010954637	826.64	614.29	3.94	959.22	717.90	3.91
1494352010971324	829.65	608.92	3.99	969.86	733.02	3.98
1494352010987998	833.90	610.13	3.93	964.46	727.24	3.93
1494352011004659	821.61	615.40	3.97	956.71	724.65	3.94
1494352011021315	836.05	612.92	3.96	964.67	714.96	3.93
1494352011037977	831.19	607.36	3.97	966.05	719.73	3.91
1494352011054654	827.15	608.36	3.96	968.35	714.64	3.91
1494352011071328	833.02	614.09	3.95	973.64	721.00	3.93
1494352011087994	831.18	616.01	3.96	969.17	710.09	3.89
1494352011104653	825.35	608.76	3.94	964.21	710.39	3.89
1494352011121312	827.94	603.26	3.97	954.52	743.86	4.02
1494352011138015	831.48	614.87	3.97	973.07	713.06	3.92
1494352011154678	825.94	604.00	3.95	970.68	723.54	3.93
1494352011171350	828.01	604.71	3.96	960.86	731.29	4.00
1494352011188017	829.73	606.49	3.99	964.77	723.01	3.94
1494352011204668	834.23	614.55	3.96	971.56	721.88	3.89
1494352011221343	825.69	601.35	3.95	961.34	741.68	4.01
1494352011238020	820.13	609.26	3.96	977.00	713.62	3.93
1494352011254681	827.73	606.08	3.95	964.11	729.23	3.95
1494352011271355	836.68	616.67	3.96	967.25	705.70	3.88
1494352011288012	829.87	607.65	3.95	954.06	746.31	4.01
1494352011304684	831.83	619.14	3.99	978.06	736.36	3.95
1494352011321358	826.41	612.61	3.94	952.13	746.49	4.03
1494352011338023	832.88	616.36	3.96	966.63	732.38	3.92
1494352011354685	832.31	617.45	3.98	966.61	732.07	3.98
1494352011371360	830.45	616.06	3.98	956.56	724.77	3.96
1494352011388021	827.01	608.28	3.96	973.47	732.72	3.97
1494352011404695	822.92	608.45	3.96	956.24	730.88	3.96
