Time	L POR X [px]	L POR Y [px]	L Diam [mm]	R POR X [px]	R POR Y [px]	R Diam [mm]
1498591441239288	412.54	676.54	3.82	576.87	905.00	3.75
1498591441242571	412.42	679.26	3.81	575.84	904.86	3.75
1498591441245880	414.81	682.41	3.81	574.59	903.85	3.75
1498591441249254	417.69	678.63	3.81	579.71	904.42	3.74
1498591441252609	414.90	681.72	3.81	578.48	901.84	3.75
1498591441255886	419.14	679.24	3.81	574.33	904.70	3.75
1498591441259228	416.91	681.22	3.81	575.37	903.46	3.75
1498591441262578	418.34	678.67	3.81	580.68	905.29	3.75
1498591441265933	413.91	681.36	3.81	579.85	905.81	3.75
1498591441269290	417.83	679.54	3.81	579.54	903.54	3.75
1498591441272531	417.56	682.49	3.81	579.55	904.52	3.75
1498591441275899	408.95	679.58	3.80	578.34	905.09	3.76
1498591441279260	412.63	682.08	3.80	579.08	903.11	3.75
1498591441282623	416.17	679.08	3.81	579.36	904.34	3.75
1498591441285869	416.00	678.70	3.81	579.73	904.28	3.75
1498591441289230	412.12	679.58	3.80	580.10	903.44	3.75
1498591441292584	413.59	677.60	3.81	579.42	904.60	3.75
1498591441295949	413.50	680.64	3.80	576.72	906.24	3.76
1498591441299225	414.52	680.43	3.81	578.65	903.94	3.75
1498591441302557	411.44	683.26	3.80	579.02	905.48	3.75
1498591441305913	416.68	679.73	3.81	580.40	903.10	3.76
1498591441309277	417.98	678.33	3.80	578.62	902.40	3.75
1498591441312515	413.51	680.14	3.80	576.12	904.67	3.75
1498591441315868	416.07	676.64	3.81	577.91	905.29	3.75
1498591441319228	416.27	677.94	3.80	577.14	904.12	3.75
1498591441322606	416.47	678.84	3.81	575.90	902.60	3.75
1498591441325854	416.17	676.69	3.80	573.20	905.67	3.76
1498591441329210	418.53	678.32	3.81	578.10	904.43	3.75
1498591441332563	416.68	676.85	3.80	574.57	903.48	3.74
1498591441335912	417.64	680.17	3.81	574.60	906.93	3.75
